sma,intens,intens_err,ellipticity,ellipticity_err,pa,pa_err,grad,grad_error,grad_rerror,x0,x0_err,y0,y0_err,ndata,nflag,niter,stop_code
0.0,27.301176166756253,0.0,0.0,0.0,0.0,0.0,0.0,None,None,978.649137750603,0.0,834.0608682876654,0.0,1,0,0,0
0.5174364656700751,27.213488132781997,0.00490100237967687,0.8262539389990723,0.010010278634047447,179.0158918223499,0.6112484865523631,-0.583276941337344,0.24002161945849096,0.41150541440600524,978.649137750603,0.014906745834099644,834.0608682876654,0.002685306303633004,13,0,10,0
0.5691801122370826,27.197893411991704,0.0047994377835399804,0.8275889187896007,0.008956508067905286,178.75529791138734,0.5465595553352615,-0.5748059550925289,0.22799403390972342,0.39664521894701366,978.6114930941575,0.014793417230354782,834.0676190292454,0.0026501571075861633,13,0,22,0
0.626098123460791,27.148806137185986,0.004354598873271614,0.7931870657369292,0.006952887355092178,177.94907127319556,0.4300689275996802,-0.7325184198267349,0.2176708723636755,0.29715412810392117,978.5508283214147,0.01052752731099202,834.0908443467549,0.0022770300433611087,13,0,21,0
0.6887079358068701,27.055643029814863,0.013351427516182405,0.7119935241528832,0.02056624945584338,176.62396648785057,1.3277994646704587,-0.9610499923056202,0.3291358898645397,0.34247530565493445,978.4775388191086,0.024572575141731248,834.1408139556829,0.007440088721878443,13,0,18,0
0.7575787293875571,26.935384781651866,0.027000099792092124,0.6051871416348933,0.04149917641965726,175.55710329835807,2.910586459574711,-1.20137554573317,0.5283325655560668,0.43977303136600665,978.4000571395884,0.0397503859073102,834.2124709266233,0.016467796816624282,13,0,17,0
0.8333366023263128,26.81906246320361,0.03725109693442121,0.5023565356791998,0.05801218890914942,168.80954133156084,4.565385179530856,-1.3587322936027306,0.6799369103721997,0.5004200706596301,978.3317183871264,0.04793675741814776,834.3053287771627,0.02623079694679102,13,0,11,0
0.9166702625589441,26.714761809174664,0.04718933593530845,0.4489710391290081,0.06923768019808901,164.61217683104252,5.886897325434701,-1.4558091555841224,0.7777709233283365,0.5342533534323509,978.2765557168757,0.056252057654379184,834.3782270955231,0.0350905117300728,13,0,10,0
1.0083372888148385,26.595358732503794,0.04298854971201407,0.4324601619362358,0.046057253006349864,164.61217683104252,4.023446037651057,-1.8669184757415258,0.6161261562717544,0.3300230643585193,978.238946050558,0.04000033243221058,834.4245251620368,0.02554198743669096,13,0,10,0
1.1091710176963223,26.46856946442439,0.03115780135658458,0.45232643104641096,0.027704861116629242,167.17575361490557,2.34316894454461,-1.9721978391002792,0.435416457957671,0.22077727159274693,978.2199202405418,0.027604069140651912,834.4385740934079,0.01667181963421521,13,0,10,0
1.2200881194659545,26.346128791931406,0.025200805989501973,0.4803895656222524,0.019244720787899437,168.8842048098956,1.560803800722775,-1.97969261919601,0.37805340164614204,0.19096570749436675,978.1982188083614,0.022312792063496886,834.4456202989596,0.012664372253192365,13,0,10,0
1.34209693141255,26.177642137535923,0.033376207037578584,0.4994677323464247,0.021337711122233836,170.30454352840013,1.6854454784700952,-2.0733769318888835,0.4084469401856181,0.19699598944294014,978.1895754654284,0.028327590456068162,834.451063554455,0.015301044920004843,13,0,10,0
1.476306624553805,25.96740035997727,0.04093503048964628,0.5154121630235569,0.022138791033944477,171.10903167748063,1.713170295525887,-2.157085580565118,0.42133494902508434,0.19532602360389525,978.1779299244116,0.033443574493152065,834.4539491480125,0.01746322556711334,13,0,10,0
1.6239372870091855,25.717911168220965,0.04830331096205775,0.5282543129039007,0.02137130379586928,171.74587349364822,1.6277859444573048,-2.3333300134404857,0.41808940381520027,0.1791814280050035,978.1666277046556,0.03652920616836092,834.4562430407442,0.0184972611360385,13,0,10,0
1.786331015710104,25.36662802863051,0.04865115353644166,0.5330869024440572,0.019366506810932594,172.5790472722513,1.466635759001364,-2.3331080230333536,0.4140779698155002,0.177479124724428,978.162593596779,0.0368430620380665,834.4624724849114,0.018344312379321343,13,0,10,0
1.9649641172811145,24.991160335609507,0.05565142285942353,0.5391068451471244,0.019831269074755877,173.05469669905648,1.4906540990184096,-2.339505570500667,0.43792408657627363,0.1871865970733959,978.1663513989728,0.04206875898348559,834.469798748501,0.020607741879992186,13,0,10,0
2.161460529009226,24.557157895866435,0.06416521465524799,0.5418958248355773,0.020097761285867554,173.01024502444832,1.5012888209362638,-2.4065335742632996,0.5858485570916933,0.2434408409494292,978.1596896015516,0.04709803995643101,834.4768367720161,0.0229580812833828,13,0,10,0
2.377606581910149,24.102664538795107,0.10776472939331191,0.5485384606989265,0.0294245579046861,173.69420546863114,2.166153121744965,-2.479490814004884,0.793676875729509,0.32009671955491487,978.1764850020736,0.07678469306723439,834.4823452312914,0.03668499877775882,13,0,10,0
2.6153672401011643,23.526126185764515,0.15858707602794023,0.5482003021988848,0.04301773067979523,174.27823455047488,3.3383076460062,-2.183843336307186,0.9663586565341061,0.4425036542081768,978.221770739082,0.12261815358297305,834.490046017565,0.06188137165430396,14,0,10,0
2.876903964111281,23.02560538356429,0.19203854032320397,0.5547308547039975,0.04225396925044039,174.45041031016476,3.1937179099915967,-2.427352847857605,1.1153882468627798,0.4595080801076068,978.2080127452857,0.13341875713775364,834.5079610957895,0.06612649524724348,14,0,10,0
3.1645943605224094,22.318562916030512,0.24636784462519967,0.5547308547039975,0.04708829678377154,175.27835054948477,3.646986711202842,-2.4880378020315033,1.139396866322336,0.45794998186603475,978.2656528847878,0.1609595687325459,834.5235995146967,0.08340726210972933,15,0,10,0
3.4810537965746504,21.60384721493023,0.26406256232103587,0.5585918652042128,0.03687588829581221,175.30498409420258,2.76183713571245,-3.1005474389781864,1.0885110240804854,0.35107059172725125,978.2492322215072,0.1387041010694261,834.5342700000522,0.07052122930308201,15,0,10,0
3.8291591762321158,20.528021894765637,0.26433213299430397,0.5558858707575968,0.03247036538098988,175.42779803920502,2.4247150722258684,-3.1990623931635174,0.985502667036525,0.3080598456418264,978.1395799673843,0.13072364918415932,834.5623828977017,0.06904389782213276,16,0,10,0
4.2120750938553275,19.622915037589344,0.2848919480885443,0.5686422555517141,0.029658003896327487,175.85278672352513,2.181836214189745,-3.306355645477033,0.9174182452117577,0.2774711324435865,978.1085250352867,0.1332675925972367,834.5940118707236,0.069968565105819,17,0,10,0
4.63328260324086,18.275934151125206,0.2593878473320682,0.565092925211368,0.025522389725459036,175.16476087538086,1.8929830593170711,-3.1571486148229613,0.7813275673046723,0.24747886863364704,977.9465572499237,0.1227501925013105,834.6347902821931,0.06741906286998617,19,0,10,0
5.096610863564947,16.989295636996378,0.2422356112893691,0.5690599443012194,0.022496669708500137,174.74889436850347,1.668490951121999,-2.965543610798135,0.6806714176434454,0.22952669290209904,977.7643480700185,0.11956842197712773,834.6861758289424,0.06584681473040196,21,0,10,0
5.6062719499214415,15.71265312646198,0.24666693574603363,0.5751553571434673,0.02111328406813511,174.4678831479077,1.5197371639800203,-2.87340346032932,0.6297274031922591,0.21915732053865006,977.5697203076205,0.12564872691064471,834.7300130765442,0.06669121125261958,22,0,10,0
6.166899144913586,14.318692379706382,0.24273088901471032,0.5809932381954885,0.02033423777148245,174.58267956310834,1.4546462269373965,-2.6023963626106075,0.5774951537405401,0.22190899204962874,977.3997682814069,0.13465459056751033,834.7698207005224,0.07074464877863662,24,0,10,0
6.783589059404945,12.930996960185942,0.24074467958031157,0.587903147824817,0.02099298531681577,175.05175898917696,1.519158642167753,-2.2001515282300392,0.5319484973895037,0.24177811871777824,977.2219925987522,0.15428189234430364,834.8123841338373,0.08179390458654727,27,0,10,0
7.4619479653454395,11.658949096661626,0.25222871844864264,0.5962437915694005,0.02370637620513255,175.22792574783207,1.692045452384662,-1.8061066040950524,0.4988228165497995,0.2761868072564488,977.0675010118678,0.19542206462690082,834.838690946304,0.10119824740488612,29,0,10,0
8.208142761879984,10.714271740375112,0.2629542129476842,0.6132586847611577,0.02628777411241418,175.50348299987854,1.8471713139811716,-1.4710717646163136,0.467019708076636,0.3174690176984292,976.9007012482556,0.24765521116585873,834.8724260374158,0.12382248593542569,31,0,10,0
9.028957038067983,9.854523567941612,0.26841028006466383,0.6280339080825966,0.025954035187953292,176.7856458952183,1.7939605125053355,-1.3163534384416191,0.43879495272786434,0.3333412895911428,976.9422772442264,0.2790390951238759,834.8622508814892,0.13383475264801364,33,0,19,0
9.931852741874781,8.083158548120524,0.41258473762963777,0.3873987089743165,0.16054915455527527,144.17136552355748,15.036776551106048,-0.46857719466627185,0.5638258224979562,1.203272009214025,979.5309233642179,1.1115134927386587,832.3292185915881,0.998422779238885,49,0,50,2
10.92503801606226,7.808937346539907,0.379437847049666,0.3873987089743165,0.26274349069399283,137.851168812375,24.30838607541018,-0.24109324705893,0.470121842800426,1.9499585680453129,979.5309233642179,1.9294363681540256,832.3292185915881,1.8630910914001515,53,0,50,2
12.017541817668485,8.551143276780394,0.38853985931827617,0.31338654212096356,0.09445912402425852,92.99418617539993,10.410866326056235,-0.6912114228646872,0.43536384042440673,0.6298562581909679,979.5309233642179,0.6026188196749576,832.3292185915881,0.7874482671049565,63,0,10,0
13.219295999435333,7.964252736874295,0.3473700470201513,0.32951343761354734,0.06915618804119052,88.42718299448525,7.2907284767292015,-0.7483491988148374,0.3462929460423844,0.4627424557824201,979.4489987964052,0.48420128532304363,831.893208333268,0.648104023314231,68,0,10,0
14.541225599378867,7.320465942117808,0.3116964063325729,0.35049139120168715,0.06632811691877692,88.00797147867067,6.627550387184398,-0.6163464565484904,0.27606302613748257,0.44790234973268417,979.3856461427918,0.5102635803121878,831.2387988639379,0.7034186215968988,73,0,10,0
15.995348159316755,6.402515688606424,0.250162906416759,0.33257299855797884,0.07473797558253631,87.05935080578722,7.815815045587109,-0.4071073056596703,0.20066472918601386,0.49290377842976774,979.3614637452961,0.6336020211772481,830.3609466134344,0.8505306039530681,82,0,10,0
17.59488297524843,5.684972621453375,0.19398327411258967,0.3032612830444258,0.09919250224343931,84.23734898994094,11.136547439686034,-0.2247437369958928,0.15027800600827249,0.6686638213683295,979.4967225433244,0.919823428444997,830.8020841667767,1.1944466242176268,92,0,50,2
19.354371272773275,5.97750869369032,0.19179661498620446,0.40014891488706383,0.05804093869289006,79.29194845721676,5.250883013747243,-0.29870846485342023,0.1333359442557525,0.4463748435156734,979.7274516882317,0.6117391970452505,832.0222437905986,0.87044669472815,93,0,10,0
